198  A=53 X=05 Y=05; ........; 00:E097: iny                 
199  A=53 X=05 Y=06; ........; 00:E098: cmp #$2f            
200  A=53 X=05 Y=06; .......C; 00:E09A: beq 00e0dc ($40)    
201  A=53 X=05 Y=06; .......C; 00:E09C: cmp #$61            
202  A=53 X=05 Y=06; N.......; 00:E09E: bcc 00e0a2 ($2)     
203  A=53 X=05 Y=06; N.......; 00:E0A2: sta $d700,x         
204  A=53 X=05 Y=06; N.......; 00:E0A5: inc $feaa           
205  A=53 X=05 Y=06; ........; 00:E0A8: bne 00e0af ($5)     
206  A=53 X=05 Y=06; ........; 00:E0AF: cmp #$2e            
207  A=53 X=05 Y=06; .......C; 00:E0B1: beq 00e08d (-$26)   
208  A=53 X=05 Y=06; .......C; 00:E0B3: cmp #$30            
209  A=53 X=05 Y=06; .......C; 00:E0B5: bcc 00e0c3 ($c)     
210  A=53 X=05 Y=06; .......C; 00:E0B7: cmp #$3a            
211  A=53 X=05 Y=06; .......C; 00:E0B9: bcc 00e08d (-$2e)   
212  A=53 X=05 Y=06; .......C; 00:E0BB: cmp #$41            
213  A=53 X=05 Y=06; .......C; 00:E0BD: bcc 00e0c3 ($4)     
214  A=53 X=05 Y=06; .......C; 00:E0BF: cmp #$5b            
215  A=53 X=05 Y=06; N.......; 00:E0C1: bcc 00e08d (-$36)   
216  A=53 X=05 Y=06; N.......; 00:E08D: cpy $fe92           
217  A=53 X=05 Y=06; N.......; 00:E090: bcs 00e0c7 ($35)    
218  A=53 X=05 Y=06; N.......; 00:E092: lda ($48),y         
219  A=55 X=05 Y=06; ........; 00:E094: and #$7f            
220  A=55 X=05 Y=06; ........; 00:E096: inx                 
221  A=55 X=06 Y=06; ........; 00:E097: iny                 
222  A=55 X=06 Y=07; ........; 00:E098: cmp #$2f            
223  A=55 X=06 Y=07; .......C; 00:E09A: beq 00e0dc ($40)    
224  A=55 X=06 Y=07; .......C; 00:E09C: cmp #$61            
225  A=55 X=06 Y=07; N.......; 00:E09E: bcc 00e0a2 ($2)     
226  A=55 X=06 Y=07; N.......; 00:E0A2: sta $d700,x         
227  A=55 X=06 Y=07; N.......; 00:E0A5: inc $feaa           
228  A=55 X=06 Y=07; ........; 00:E0A8: bne 00e0af ($5)     
229  A=55 X=06 Y=07; ........; 00:E0AF: cmp #$2e            
230  A=55 X=06 Y=07; .......C; 00:E0B1: beq 00e08d (-$26)   
231  A=55 X=06 Y=07; .......C; 00:E0B3: cmp #$30            
232  A=55 X=06 Y=07; .......C; 00:E0B5: bcc 00e0c3 ($c)     
233  A=55 X=06 Y=07; .......C; 00:E0B7: cmp #$3a            
234  A=55 X=06 Y=07; .......C; 00:E0B9: bcc 00e08d (-$2e)   
235  A=55 X=06 Y=07; .......C; 00:E0BB: cmp #$41            
236  A=55 X=06 Y=07; .......C; 00:E0BD: bcc 00e0c3 ($4)     
237  A=55 X=06 Y=07; .......C; 00:E0BF: cmp #$5b            
238  A=55 X=06 Y=07; N.......; 00:E0C1: bcc 00e08d (-$36)   
239  A=55 X=06 Y=07; N.......; 00:E08D: cpy $fe92           
240  A=55 X=06 Y=07; N.......; 00:E090: bcs 00e0c7 ($35)    
241  A=55 X=06 Y=07; N.......; 00:E092: lda ($48),y         
242  A=4C X=06 Y=07; ........; 00:E094: and #$7f            
243  A=4C X=06 Y=07; ........; 00:E096: inx                 
244  A=4C X=07 Y=07; ........; 00:E097: iny                 
245  A=4C X=07 Y=08; ........; 00:E098: cmp #$2f            
246  A=4C X=07 Y=08; .......C; 00:E09A: beq 00e0dc ($40)    
247  A=4C X=07 Y=08; .......C; 00:E09C: cmp #$61            
248  A=4C X=07 Y=08; N.......; 00:E09E: bcc 00e0a2 ($2)     
249  A=4C X=07 Y=08; N.......; 00:E0A2: sta $d700,x         
250  A=4C X=07 Y=08; N.......; 00:E0A5: inc $feaa           
251  A=4C X=07 Y=08; ........; 00:E0A8: bne 00e0af ($5)     
252  A=4C X=07 Y=08; ........; 00:E0AF: cmp #$2e            
253  A=4C X=07 Y=08; .......C; 00:E0B1: beq 00e08d (-$26)   
254  A=4C X=07 Y=08; .......C; 00:E0B3: cmp #$30            
255  A=4C X=07 Y=08; .......C; 00:E0B5: bcc 00e0c3 ($c)     
256  A=4C X=07 Y=08; .......C; 00:E0B7: cmp #$3a            
257  A=4C X=07 Y=08; .......C; 00:E0B9: bcc 00e08d (-$2e)   
258  A=4C X=07 Y=08; .......C; 00:E0BB: cmp #$41            
259  A=4C X=07 Y=08; .......C; 00:E0BD: bcc 00e0c3 ($4)     
260  A=4C X=07 Y=08; .......C; 00:E0BF: cmp #$5b            
261  A=4C X=07 Y=08; N.......; 00:E0C1: bcc 00e08d (-$36)   
262  A=4C X=07 Y=08; N.......; 00:E08D: cpy $fe92           
263  A=4C X=07 Y=08; N.......; 00:E090: bcs 00e0c7 ($35)    
264  A=4C X=07 Y=08; N.......; 00:E092: lda ($48),y         
265  A=54 X=07 Y=08; ........; 00:E094: and #$7f            
266  A=54 X=07 Y=08; ........; 00:E096: inx                 
267  A=54 X=08 Y=08; ........; 00:E097: iny                 
268  A=54 X=08 Y=09; ........; 00:E098: cmp #$2f            
269  A=54 X=08 Y=09; .......C; 00:E09A: beq 00e0dc ($40)    
270  A=54 X=08 Y=09; .......C; 00:E09C: cmp #$61            
271  A=54 X=08 Y=09; N.......; 00:E09E: bcc 00e0a2 ($2)     
272  A=54 X=08 Y=09; N.......; 00:E0A2: sta $d700,x         
273  A=54 X=08 Y=09; N.......; 00:E0A5: inc $feaa           
274  A=54 X=08 Y=09; ........; 00:E0A8: bne 00e0af ($5)     
275  A=54 X=08 Y=09; ........; 00:E0AF: cmp #$2e            
276  A=54 X=08 Y=09; .......C; 00:E0B1: beq 00e08d (-$26)   
277  A=54 X=08 Y=09; .......C; 00:E0B3: cmp #$30            
278  A=54 X=08 Y=09; .......C; 00:E0B5: bcc 00e0c3 ($c)     
279  A=54 X=08 Y=09; .......C; 00:E0B7: cmp #$3a            
280  A=54 X=08 Y=09; .......C; 00:E0B9: bcc 00e08d (-$2e)   
281  A=54 X=08 Y=09; .......C; 00:E0BB: cmp #$41            
282  A=54 X=08 Y=09; .......C; 00:E0BD: bcc 00e0c3 ($4)     
283  A=54 X=08 Y=09; .......C; 00:E0BF: cmp #$5b            
284  A=54 X=08 Y=09; N.......; 00:E0C1: bcc 00e08d (-$36)   
285  A=54 X=08 Y=09; N.......; 00:E08D: cpy $fe92           
286  A=54 X=08 Y=09; N.......; 00:E090: bcs 00e0c7 ($35)    
287  A=54 X=08 Y=09; N.......; 00:E092: lda ($48),y         
288  A=53 X=08 Y=09; ........; 00:E094: and #$7f            
289  A=53 X=08 Y=09; ........; 00:E096: inx                 
290  A=53 X=09 Y=09; ........; 00:E097: iny                 
291  A=53 X=09 Y=0A; ........; 00:E098: cmp #$2f            
292  A=53 X=09 Y=0A; .......C; 00:E09A: beq 00e0dc ($40)    
293  A=53 X=09 Y=0A; .......C; 00:E09C: cmp #$61            
294  A=53 X=09 Y=0A; N.......; 00:E09E: bcc 00e0a2 ($2)     
295  A=53 X=09 Y=0A; N.......; 00:E0A2: sta $d700,x         
296  A=53 X=09 Y=0A; N.......; 00:E0A5: inc $feaa           
297  A=53 X=09 Y=0A; ........; 00:E0A8: bne 00e0af ($5)     
298  A=53 X=09 Y=0A; ........; 00:E0AF: cmp #$2e            
299  A=53 X=09 Y=0A; .......C; 00:E0B1: beq 00e08d (-$26)   
300  A=53 X=09 Y=0A; .......C; 00:E0B3: cmp #$30            
301  A=53 X=09 Y=0A; .......C; 00:E0B5: bcc 00e0c3 ($c)     
302  A=53 X=09 Y=0A; .......C; 00:E0B7: cmp #$3a            
303  A=53 X=09 Y=0A; .......C; 00:E0B9: bcc 00e08d (-$2e)   
304  A=53 X=09 Y=0A; .......C; 00:E0BB: cmp #$41            
305  A=53 X=09 Y=0A; .......C; 00:E0BD: bcc 00e0c3 ($4)     
306  A=53 X=09 Y=0A; .......C; 00:E0BF: cmp #$5b            
307  A=53 X=09 Y=0A; N.......; 00:E0C1: bcc 00e08d (-$36)   
308  A=53 X=09 Y=0A; N.......; 00:E08D: cpy $fe92           
309  A=53 X=09 Y=0A; ......ZC; 00:E090: bcs 00e0c7 ($35)    
310  A=53 X=09 Y=0A; ......ZC; 00:E0C7: lda #$00            
311  A=00 X=09 Y=0A; ......ZC; 00:E0C9: bit $feaa           
312  A=00 X=09 Y=0A; ......ZC; 00:E0CC: bpl 00e0d2 ($4)     
313  A=00 X=09 Y=0A; ......ZC; 00:E0D2: inx                 
314  A=00 X=0A Y=0A; .......C; 00:E0D3: sta $d700,x         
315  A=00 X=0A Y=0A; .......C; 00:E0D6: beq 00e0c3 (-$15)   
316  A=00 X=0A Y=0A; .......C; 00:E0D8: stx $fe92           
317  A=00 X=0A Y=0A; .......C; 00:E0DB: tax                 
318  A=00 X=00 Y=0A; ......ZC; 00:E0DC: lda $feaa           
319  A=09 X=00 Y=0A; .......C; 00:E0DF: cmp #$10            
320  A=09 X=00 Y=0A; N.......; 00:E0E1: bcs 00e0c3 (-$20)   
321  A=09 X=00 Y=0A; N.......; 00:E0E3: stx $feb0           
322  A=09 X=00 Y=0A; N.......; 00:E0E6: ldx $feac           
323  A=09 X=00 Y=0A; ......Z.; 00:E0E9: sta $d700,x         
324  A=09 X=00 Y=0A; ......Z.; 00:E0EC: ldx $feb0           
325  A=09 X=00 Y=0A; ......Z.; 00:E0EF: bne 00e082 (-$6f)   
326  A=09 X=00 Y=0A; ......Z.; 00:E0F1: clc                 
327  A=09 X=00 Y=0A; ......Z.; 00:E0F2: lda $feae           
328  A=00 X=00 Y=0A; ......Z.; 00:E0F5: bne 00e0fc ($5)     
329  A=00 X=00 Y=0A; ......Z.; 00:E0F7: lda $bf97           
330  A=E8 X=00 Y=0A; N.......; 00:E0FA: beq 00e0c3 (-$39)   
331  A=E8 X=00 Y=0A; N.......; 00:E0FC: rts                 
332  A=E8 X=00 Y=0A; N.......; 00:E035: bcs 00e04e ($17)    
333  A=E8 X=00 Y=0A; N.......; 00:E037: asl $fea6           
334  A=E8 X=00 Y=0A; N.......; 00:E03A: bcc 00e041 ($5)     
